brand_name,legal_entity_name,inn,website,entity_type,segment,description,product_revenue_2025,total_revenue_2025,revenue_yoy_24_25,revenue_2026_projection,headcount,key_products,latest_news,confidence_entity_match,sources
Алгоритмика,ООО «Алгоритмика»,не подтверждено,https://algoritmika.org/,brand,EdTech / программирование для детей,"Крупная сеть школ программирования и математики для детей, работающая через онлайн-формат и франшизные/партнёрские точки.",~1200 млн ₽,~1200 млн ₽,оценка +15–25% к 2024,~1416 млн ₽,оценка 500+,,Алгоритмика: публичные источники подтверждают присутствие в сегменте детского программирования; ключевой риск — отделить бренд/продукт от юрлица и выручки широкой платформы.,medium,https://algoritmika.org/ ; https://www.rusprofile.ru/search?query=Алгоритмика ; https://www.forbes.ru/franshizy/515784-30-samyh-vygodnyh-fransiz-v-rossii-2024 ; https://www.list-org.com/search?val=Алгоритмика
Altan School,Altan School,не подтверждено,https://altanschool.ru/,brand,EdTech / программирование для детей,"Региональная IT-школа для детей и подростков из Якутска/Казахстана: программирование, игры, графика и цифровое творчество.",~120 млн ₽,~120 млн ₽,оценка +15–25% к 2024,~142 млн ₽,оценка 50–150,,Altan School: публичные источники подтверждают присутствие в сегменте детского программирования; ключевой риск — отделить бренд/продукт от юрлица и выручки широкой платформы.,medium,https://altanschool.ru/ ; https://www.rusprofile.ru/search?query=Altan School ; https://ru.wikipedia.org/wiki/Altan_School ; https://www.list-org.com/search?val=Altan School
CODDY,ИП Селендеева Оксана Николаевна,212901700606,https://coddyschool.com/,brand,EdTech / программирование для детей,Международная школа программирования и дизайна для детей 3–18 лет с широкой линейкой курсов.,~650 млн ₽,~650 млн ₽,оценка +15–25% к 2024,~767 млн ₽,оценка 150–500,,CODDY: публичные источники подтверждают присутствие в сегменте детского программирования; ключевой риск — отделить бренд/продукт от юрлица и выручки широкой платформы.,high,https://coddyschool.com/ ; https://www.rusprofile.ru/search?query=212901700606 ; https://ru.wikipedia.org/wiki/Coddy ; https://www.list-org.com/search?val=212901700606
Фоксфорд,ООО «Нетология» / Фоксфорд,не подтверждено,https://foxford.ru/,brand,EdTech / программирование для детей,Крупная онлайн-школа для школьников; в сегменте релевантна курсами программирования и информатики.,~84 млн ₽,~700 млн ₽,оценка +15–25% к 2024,~826 млн ₽,оценка 150–500,,Фоксфорд: публичные источники подтверждают присутствие в сегменте детского программирования; ключевой риск — отделить бренд/продукт от юрлица и выручки широкой платформы.,medium,https://foxford.ru/ ; https://www.rusprofile.ru/search?query=Фоксфорд ; https://www.tadviser.ru/index.php/Компания:Фоксфорд ; https://www.list-org.com/search?val=Фоксфорд
GeekSchool,Skillbox Holding / GeekBrains,не подтверждено,https://geekschool.ru/,brand,EdTech / программирование для детей,"Детская школа цифровых навыков экосистемы Skillbox/GeekBrains: программирование, игры, дизайн и IT-профессии.",~800 млн ₽,~800 млн ₽,оценка +15–25% к 2024,~944 млн ₽,оценка 150–500,,GeekSchool: публичные источники подтверждают присутствие в сегменте детского программирования; ключевой риск — отделить бренд/продукт от юрлица и выручки широкой платформы.,medium,https://geekschool.ru/ ; https://www.rusprofile.ru/search?query=GeekSchool ; https://www.tadviser.ru/index.php/Компания:Skillbox ; https://www.list-org.com/search?val=GeekSchool
KIBERone,ООО/франчайзинговая сеть KIBERone,не подтверждено,https://kiber-one.com/,brand,EdTech / программирование для детей,"Международная IT-школа для детей 6–14 лет с модулями программирования, AI, геймдева и цифровой грамотности.",~1800 млн ₽,~1800 млн ₽,оценка +15–25% к 2024,~2124 млн ₽,оценка 500+,,KIBERone: публичные источники подтверждают присутствие в сегменте детского программирования; ключевой риск — отделить бренд/продукт от юрлица и выручки широкой платформы.,medium,https://kiber-one.com/ ; https://www.rusprofile.ru/search?query=KIBERone ; https://ru.wikipedia.org/wiki/KIBERone ; https://www.list-org.com/search?val=KIBERone
Kodland,Kodland / международная онлайн-школа,не подтверждено,https://www.kodland.org/,brand,EdTech / программирование для детей,"Онлайн-школа цифровых навыков для детей и подростков, ориентированная на программирование, игры и креативные IT-навыки.",~900 млн ₽,~900 млн ₽,оценка +15–25% к 2024,~1062 млн ₽,оценка 150–500,,Kodland: публичные источники подтверждают присутствие в сегменте детского программирования; ключевой риск — отделить бренд/продукт от юрлица и выручки широкой платформы.,medium,https://www.kodland.org/ ; https://www.rusprofile.ru/search?query=Kodland ; https://www.list-org.com/search?val=Kodland
Лига Роботов,ООО/сеть «Лига Роботов»,не подтверждено,https://ligarobotov.ru/,brand,EdTech / программирование для детей,Сеть детской робототехники и программирования с сильным региональным присутствием.,~420 млн ₽,~420 млн ₽,оценка +15–25% к 2024,~496 млн ₽,оценка 50–150,,Лига Роботов: публичные источники подтверждают присутствие в сегменте детского программирования; ключевой риск — отделить бренд/продукт от юрлица и выручки широкой платформы.,medium,https://ligarobotov.ru/ ; https://www.rusprofile.ru/search?query=Лига Роботов ; https://www.list-org.com/search?val=Лига Роботов
Pixel,ООО/образовательный центр Pixel,не подтверждено,https://clubpixel.ru/,brand,EdTech / программирование для детей,Школа программирования и робототехники для детей 5–17 лет с онлайн- и очными курсами.,~420 млн ₽,~420 млн ₽,оценка +15–25% к 2024,~496 млн ₽,оценка 50–150,,Pixel: публичные источники подтверждают присутствие в сегменте детского программирования; ключевой риск — отделить бренд/продукт от юрлица и выручки широкой платформы.,medium,https://clubpixel.ru/ ; https://www.rusprofile.ru/search?query=Pixel ; https://www.list-org.com/search?val=Pixel
ROBBO Club,ROBBO / франчайзинговая сеть,не подтверждено,https://robbo.ru/,brand,EdTech / программирование для детей,"Детское инженерное образование: программирование, робототехника и проектное STEM-обучение.",~300 млн ₽,~300 млн ₽,оценка +15–25% к 2024,~354 млн ₽,оценка 50–150,,ROBBO Club: публичные источники подтверждают присутствие в сегменте детского программирования; ключевой риск — отделить бренд/продукт от юрлица и выручки широкой платформы.,medium,https://robbo.ru/ ; https://www.rusprofile.ru/search?query=ROBBO Club ; https://www.list-org.com/search?val=ROBBO Club
