brand_name,legal_entity_name,inn,website,entity_type,segment,description,product_revenue_2025,total_revenue_2025,revenue_yoy_24_25,revenue_2026_projection,headcount,key_products,latest_news,confidence_entity_match,sources,notes
Cognitive Pilot,ООО «Когнитив Роботикс»,,https://cognitivepilot.com/,brand,AI/ML / промышленное и корпоративное ПО для интеллектуальной автоматизации,"Разработчик AI-систем автономного управления для сельхозтехники, транспорта и роботизированных промышленных задач.",,,,,,"Cognitive Agro Pilot, Cognitive Crop Control, Cognitive Terra Sense, Cognitive Tram Pilot.","В 2025 компания сообщала о привлечении 0,9 млрд руб. для масштабирования автономных решений на базе ИИ.",medium,https://cognitivepilot.com/ ; https://bo.nalog.ru/organizations/search?query=Cognitive Pilot,"entity: Бренд связан с Cognitive Technologies/Сбер; требуется registry-check конкретного юрлица. || legal_entity_name: Не подтверждено ЕГРЮЛ/Rusprofile, если не указан ИНН в официальном футере. || inn: ЕГРЮЛ/Rusprofile недоступен или не дал карточку в сессии. || revenue: ГИР БО открыт, но карточка/таблица отчётности не извлечена; оставить пустым до ручной проверки. || headcount: Оставлено пустым до ручной проверки. || flag: inn: не подтверждён из ЕГРЮЛ/Rusprofile || flag: revenue: пусто; bo.nalog.ru открыт, но значение не извлечено из JS/поискового интерфейса || flag: headcount: пусто; значение не извлечено из доступных источников"
Ctrl2GO,ООО «КонтролТуГоу.Ру»,,https://www.ctrl2go.com/,brand,AI/ML / промышленное и корпоративное ПО для интеллектуальной автоматизации,"Поставщик решений анализа данных для промышленности: предиктивная и прескриптивная аналитика, SmartMaintenance и цифровые паспорта изделий.",,,,,,"CLASS, SmartMaintenance, Цифровой формуляр изделия, RiskAgro, C2G Blockchain Platform.",В 2025 компания сообщала о втором этапе проекта «Цифровой формуляр» с ООО «ЛокоТех-Сервис».,low,https://www.ctrl2go.com/ ; https://bo.nalog.ru/organizations/search?query=Ctrl2GO,"entity: B-пасс использует пресс-страницу компании из-за отсутствия открытой независимой карточки; помечено как источник ниже требуемого качества. || legal_entity_name: Не подтверждено ЕГРЮЛ/Rusprofile, если не указан ИНН в официальном футере. || inn: ЕГРЮЛ/Rusprofile недоступен или не дал карточку в сессии. || revenue: ГИР БО открыт, но карточка/таблица отчётности не извлечена; оставить пустым до ручной проверки. || headcount: Оставлено пустым до ручной проверки. || flag: inn: не подтверждён из ЕГРЮЛ/Rusprofile || flag: revenue: пусто; bo.nalog.ru открыт, но значение не извлечено из JS/поискового интерфейса || flag: headcount: пусто; значение не извлечено из доступных источников || flag: entity_match: низкая уверенность, требуется ручное подтверждение"
Datana,ООО «Датана»,9717079152,https://datana.ru/,legal_entity,AI/ML / промышленное и корпоративное ПО для интеллектуальной автоматизации,"Вендор промышленной AI/ML-автоматизации для добычи, металлургии, химии/нефти и энергетики: APC, CV-аналитика и роботизация.",,,,,,"Datana APC, Datana Shopfloor, Датана Поток, Датана Искра, Датана Арма, Датана КИТТ, Datana Sense.",В 2025 на сайте Datana указана благодарность Норникеля за внедрение СУУТП на печах Ванюкова.,medium,https://datana.ru/ ; https://bo.nalog.ru/organizations/search?query=9717079152,"entity: ИНН взят с официального сайта; требуется повторная сверка с ЕГРЮЛ/Rusprofile. || legal_entity_name: Не подтверждено ЕГРЮЛ/Rusprofile, если не указан ИНН в официальном футере. || inn: ИНН взят с открытой страницы; требуется registry cross-check. || revenue: ГИР БО открыт, но карточка/таблица отчётности не извлечена; оставить пустым до ручной проверки. || headcount: Оставлено пустым до ручной проверки. || flag: revenue: пусто; bo.nalog.ru открыт, но значение не извлечено из JS/поискового интерфейса || flag: headcount: пусто; значение не извлечено из доступных источников"
GreenData,,,https://greendata.store/,brand,AI/ML / промышленное и корпоративное ПО для интеллектуальной автоматизации,Low-code платформа для корпоративной автоматизации и приложений на данных.,,,,,,GreenData low-code platform.,Кандидат включён как сильный low-code/enterprise automation игрок; источники требуют дозаполнения.,low,https://greendata.store/ ; https://bo.nalog.ru/organizations/search?query=GreenData,"entity: Официальная/независимая проверка не завершена; запись ниже quality bar. || legal_entity_name: Не подтверждено ЕГРЮЛ/Rusprofile, если не указан ИНН в официальном футере. || inn: ЕГРЮЛ/Rusprofile недоступен или не дал карточку в сессии. || revenue: ГИР БО открыт, но карточка/таблица отчётности не извлечена; оставить пустым до ручной проверки. || headcount: Оставлено пустым до ручной проверки. || flag: inn: не подтверждён из ЕГРЮЛ/Rusprofile || flag: revenue: пусто; bo.nalog.ru открыт, но значение не извлечено из JS/поискового интерфейса || flag: headcount: пусто; значение не извлечено из доступных источников || flag: entity_match: низкая уверенность, требуется ручное подтверждение || flag: collector_b: источник не независимый, нужен повторный B-пасс"
Infomaximum / Proceset,ООО «Инфомаксимум»,,https://proceset.com/,product,AI/ML / промышленное и корпоративное ПО для интеллектуальной автоматизации,"Платформа process mining для анализа, контроля и оптимизации корпоративных процессов.",,,,,,"Proceset, process mining, task mining, аналитика процессов.",Кандидат включён как process-mining слой интеллектуальной автоматизации; независимая проверка источников не завершена.,low,https://proceset.com/ ; https://bo.nalog.ru/organizations/search?query=Infomaximum / Proceset,"entity: Источник B не независимый; требуется полноценный B-пасс и registry-check. || legal_entity_name: Не подтверждено ЕГРЮЛ/Rusprofile, если не указан ИНН в официальном футере. || inn: ЕГРЮЛ/Rusprofile недоступен или не дал карточку в сессии. || revenue: ГИР БО открыт, но карточка/таблица отчётности не извлечена; оставить пустым до ручной проверки. || headcount: Оставлено пустым до ручной проверки. || flag: inn: не подтверждён из ЕГРЮЛ/Rusprofile || flag: revenue: пусто; bo.nalog.ru открыт, но значение не извлечено из JS/поискового интерфейса || flag: headcount: пусто; значение не извлечено из доступных источников || flag: entity_match: низкая уверенность, требуется ручное подтверждение || flag: collector_b: источник не независимый, нужен повторный B-пасс"
Linkage / ГК «ВестЛинк»,Группа компаний «ВестЛинк»,9705074872,https://westlink.group/,product,AI/ML / промышленное и корпоративное ПО для интеллектуальной автоматизации,Экосистема управления предприятием на основе данных и ИИ: BI/EPM/AI-ассистент для управленческих процессов.,,,,,,"Linkage ABI, Linkage EPM, Linkage Contact Center, Цифровой управленец Linkage.",В 2025 CNews сообщил о «Цифровом управленце» Linkage на платформе ZIIoT совместно с ГК «Цифра».,medium,https://westlink.group/ ; https://bo.nalog.ru/organizations/search?query=9705074872,"entity: Product-vs-legal-entity: продукт Linkage привязан к группе «ВестЛинк»; точную юрформу надо подтвердить в ЕГРЮЛ. || legal_entity_name: Не подтверждено ЕГРЮЛ/Rusprofile, если не указан ИНН в официальном футере. || inn: ИНН взят с открытой страницы; требуется registry cross-check. || revenue: ГИР БО открыт, но карточка/таблица отчётности не извлечена; оставить пустым до ручной проверки. || headcount: Оставлено пустым до ручной проверки. || flag: revenue: пусто; bo.nalog.ru открыт, но значение не извлечено из JS/поискового интерфейса || flag: headcount: пусто; значение не извлечено из доступных источников"
Loginom,ООО «Аналитические технологии»,,https://loginom.ru/,brand,AI/ML / промышленное и корпоративное ПО для интеллектуальной автоматизации,"Low-code платформа для реализации аналитических процессов, ML-моделирования, прогнозирования и принятия решений.",,,,,,"Loginom Platform, Loginom + AI, Marketplace, готовые отраслевые решения.","Сайт описывает Loginom+ как применение AI в реальных бизнес-сценариях для данных, аналитики и принятия решений.",medium,https://loginom.ru/ ; https://bo.nalog.ru/organizations/search?query=Loginom,"entity: B-источник не независимый; registry/bo подтверждение не завершено. || legal_entity_name: Не подтверждено ЕГРЮЛ/Rusprofile, если не указан ИНН в официальном футере. || inn: ЕГРЮЛ/Rusprofile недоступен или не дал карточку в сессии. || revenue: ГИР БО открыт, но карточка/таблица отчётности не извлечена; оставить пустым до ручной проверки. || headcount: Оставлено пустым до ручной проверки. || flag: inn: не подтверждён из ЕГРЮЛ/Rusprofile || flag: revenue: пусто; bo.nalog.ru открыт, но значение не извлечено из JS/поискового интерфейса || flag: headcount: пусто; значение не извлечено из доступных источников || flag: collector_b: источник не независимый, нужен повторный B-пасс"
PIX Robotics,ООО «ПИКС Роботикс»,9731050726,https://pix.ru/,legal_entity,AI/ML / промышленное и корпоративное ПО для интеллектуальной автоматизации,Экосистема RPA/BI/BPM для интеллектуальной автоматизации бизнес-процессов крупных предприятий.,,,,,,"PIX RPA, PIX BI, PIX Процессы.",В 2025 PIX Robotics указан как лидер рейтинга российских RPA-платформ 2025 по версии РБК в открытой карточке.,medium,https://pix.ru/ ; https://bo.nalog.ru/organizations/search?query=9731050726,"entity: ИНН взят с официального сайта; требуется повторная сверка с ЕГРЮЛ/Rusprofile. || legal_entity_name: Не подтверждено ЕГРЮЛ/Rusprofile, если не указан ИНН в официальном футере. || inn: ИНН взят с открытой страницы; требуется registry cross-check. || revenue: ГИР БО открыт, но карточка/таблица отчётности не извлечена; оставить пустым до ручной проверки. || headcount: Оставлено пустым до ручной проверки. || flag: revenue: пусто; bo.nalog.ru открыт, но значение не извлечено из JS/поискового интерфейса || flag: headcount: пусто; значение не извлечено из доступных источников"
PRANA,АО «РОТЕК»,,https://prana-system.com/,product,AI/ML / промышленное и корпоративное ПО для интеллектуальной автоматизации,"Система предиктивной аналитики и удалённого мониторинга промышленного оборудования, связанная с ROTEC JSC.",,,,,,"PRANA predictive analytics, remote monitoring, situational center, emergency notifications, residual resource forecast.","Публичная карточка описывает PRANA как IIoT-систему, которая к 2021 отслеживала более 130 единиц сложного оборудования.",medium,https://prana-system.com/ ; https://bo.nalog.ru/organizations/search?query=PRANA,"entity: Product-vs-legal-entity: запись якорится на продукт PRANA, правообладатель/владелец требует registry-check по АО «РОТЕК». || legal_entity_name: Не подтверждено ЕГРЮЛ/Rusprofile, если не указан ИНН в официальном футере. || inn: ЕГРЮЛ/Rusprofile недоступен или не дал карточку в сессии. || revenue: ГИР БО открыт, но карточка/таблица отчётности не извлечена; оставить пустым до ручной проверки. || headcount: Оставлено пустым до ручной проверки. || flag: inn: не подтверждён из ЕГРЮЛ/Rusprofile || flag: revenue: пусто; bo.nalog.ru открыт, но значение не извлечено из JS/поискового интерфейса || flag: headcount: пусто; значение не извлечено из доступных источников"
Polymatica,ООО «Полиматика Рус»,,https://polymatica.ru/,brand,AI/ML / промышленное и корпоративное ПО для интеллектуальной автоматизации,"Российская платформа аналитики и визуализации больших данных для контроля KPI, мониторинга и поддержки управленческих решений.",,,,,,"Polymatica BI/analytics platform, self-service analytics, Big Data visualization.",Сайт указывает поддержку прогнозирования и предиктивной аналитики при подключении ML.,medium,https://polymatica.ru/ ; https://bo.nalog.ru/organizations/search?query=Polymatica,"entity: B-источник не независимый; registry/bo подтверждение не завершено. || legal_entity_name: Не подтверждено ЕГРЮЛ/Rusprofile, если не указан ИНН в официальном футере. || inn: ЕГРЮЛ/Rusprofile недоступен или не дал карточку в сессии. || revenue: ГИР БО открыт, но карточка/таблица отчётности не извлечена; оставить пустым до ручной проверки. || headcount: Оставлено пустым до ручной проверки. || flag: inn: не подтверждён из ЕГРЮЛ/Rusprofile || flag: revenue: пусто; bo.nalog.ru открыт, но значение не извлечено из JS/поискового интерфейса || flag: headcount: пусто; значение не извлечено из доступных источников || flag: collector_b: источник не независимый, нужен повторный B-пасс"
